"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Binomial(size = 5, p = .10)",500,0.499917,0.0302094947385291,0.5,0.03,-8.29999999999997e-05,1.00698315795097,0.0457393363503689,0.0222908563659039,0.999697070602432,0.0246127771185427,TRUE,FALSE
"Binomial(size = 20, p = .50)",2,9.9939,1.55961727055169,10,1.58113883008419,-0.00609999999999822,0.986388570615677,0.00288917787586021,-0.0930616101263082,0.995625933574568,0.0935260323007497,FALSE,FALSE
"Binomial(size = 20, p = .50)",5,9.99692,1.00603564766484,10,1,-0.00308000000000064,1.00603564766484,0.00461795200555754,0.085747900509781,0.998241923546115,0.0592937218241609,TRUE,TRUE
"Binomial(size = 20, p = .50)",10,9.99816,0.702159467066941,10,0.707106781186547,-0.00183999999999962,0.993003441274733,0.00151632249064036,-0.00409991613315031,0.999085756649148,0.0427583317554611,TRUE,TRUE
"Binomial(size = 20, p = .50)",15,9.99827333333333,0.576824701048975,10,0.577350269189626,-0.00172666666666643,0.999089689277554,-0.0147786201964813,0.0377823381907905,0.999396184672565,0.0347489694666757,TRUE,TRUE
"Binomial(size = 20, p = .50)",20,9.99874,0.502175895939903,10,0.5,-0.00126000000000026,1.00435179187981,-0.00637419281564857,-0.0177604821639514,0.999558882962677,0.029700707566733,TRUE,TRUE
"Binomial(size = 20, p = .50)",30,10.00532,0.408111800874569,10,0.408248290463863,0.00531999999999933,0.999665670151028,-0.0266765516446217,-0.0411418613668264,0.999617349916157,0.0276624597977264,TRUE,TRUE
"Binomial(size = 20, p = .50)",40,10.0079375,0.352344963481921,10,0.353553390593274,0.0079375000000006,0.996582051979971,0.0183637432717603,0.0254712675674225,0.999703638591781,0.0243444930533851,TRUE,TRUE
"Binomial(size = 20, p = .50)",50,10.007878,0.313158783939386,10,0.316227766016838,0.00787799999999983,0.990295026537018,0.0254757501334496,0.00473732285667605,0.999748285205954,0.0224359414256968,TRUE,TRUE
"Binomial(size = 20, p = .50)",75,10.0020026666667,0.259588099221985,10,0.258198889747161,0.00200266666666593,1.00538038516039,-0.0160628806941057,0.0212239263591485,0.999746142227102,0.0225312433819365,TRUE,TRUE
"Binomial(size = 20, p = .50)",100,9.998985,0.22505364846958,10,0.223606797749979,-0.00101500000000065,1.00647051312464,-0.00583811983410727,0.000150130610379939,0.999779153910159,0.0210152615487181,TRUE,TRUE
"Binomial(size = 20, p = .50)",150,9.999972,0.18520925857782,10,0.182574185835055,-2.80000000003611e-05,1.01443288781879,0.0206811397978132,0.0244726517444898,0.999839048341683,0.0179406311205128,TRUE,TRUE
"Binomial(size = 20, p = .50)",200,9.999389,0.159402360679693,10,0.158113883008419,-0.000610999999999251,1.00814904831099,0.0363293936269678,-0.0592401765604809,0.999857640466535,0.0168726496731637,TRUE,TRUE
"Binomial(size = 20, p = .50)",300,9.99955133333333,0.12923877156388,10,0.129099444873581,-0.000448666666667208,1.00107921990243,0.00267504551291542,-0.0193384091540985,0.999907756289417,0.0135818365308296,TRUE,FALSE
"Binomial(size = 20, p = .50)",500,10.000131,0.100203725068741,10,0.1,0.000130999999999659,1.00203725068741,0.0174588483697702,0.0177250101577484,0.999901837932827,0.0140107681518582,TRUE,FALSE
"Cauchy(location = 0, scale = 1)",2,-1.99355967191816,113.688245088038,NA,NA,NA,NA,-54.8519839647362,3336.65782827875,0.150266683448583,1.30356034464798,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",5,-3.40506493201132,382.589229468818,NA,NA,NA,NA,-90.9375192066214,8865.81385737507,0.0847272079202051,1.35289812032143,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",10,-0.509306504791776,245.963916236041,NA,NA,NA,NA,-24.5418172058051,4319.15224660223,0.125442604451152,1.32246435611481,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",15,-0.14847757583149,165.018854319971,NA,NA,NA,NA,-24.0346455279933,4211.81080468249,0.140724795102416,1.31085893061635,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",20,-0.196128632986782,125.387547584893,NA,NA,NA,NA,-23.3191873582771,3999.89968805159,0.157538683367799,1.29797043831749,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",30,3.73787706276181,360.161130879301,NA,NA,NA,NA,88.2509936390305,8477.5749850191,0.0879617328288344,1.35050546991452,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",40,-0.808571435452501,462.580519689583,NA,NA,NA,NA,-34.8801221173668,5217.80244413363,0.0896887238454366,1.34922623853134,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",50,-0.639965411794473,370.225028606355,NA,NA,NA,NA,-34.8328812232102,5208.47844392779,0.09463294388153,1.3455571891528,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",75,-0.609469914136773,248.430900276171,NA,NA,NA,NA,-34.1890650235695,5073.22009467543,0.107721424968065,1.33579572631846,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",100,-0.561778900419626,189.967055647224,NA,NA,NA,NA,-32.5193542047345,4702.14894704784,0.126324419966193,1.32179746809618,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",150,0.462819034338717,156.822316739683,NA,NA,NA,NA,1.34100222174727,3042.48512084415,0.143560271334864,1.30869432683327,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",200,2.48161207757379,231.606832670755,NA,NA,NA,NA,63.307001671012,5614.58599348242,0.115926268058397,1.32963996594979,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",300,6.78830858408257,553.3597216181,NA,NA,NA,NA,89.1590479906634,8437.35429466011,0.0783911613321431,1.35757281490021,FALSE,FALSE
"Cauchy(location = 0, scale = 1)",500,4.19058549854339,334.261109903622,NA,NA,NA,NA,87.4611799860893,8213.51476718596,0.0934939503676615,1.3464033096235,FALSE,FALSE
"Dependent machine-failure process",2,0.993257694194054,0.945732755801715,1,NA,-0.0067423058059457,NA,2.00553430658676,6.48834832186207,0.907589268717416,0.429883742300571,FALSE,FALSE
"Dependent machine-failure process",5,0.995483985338179,0.830714218124109,1,NA,-0.00451601466182083,NA,1.65912203764832,3.84832045703412,0.927945090529798,0.37959598124559,FALSE,FALSE
